source_cap_mbps,download_mbps,idle_p50_ms,idle_p95_ms,idle_p99_ms,loaded_p50_ms,loaded_p95_ms,loaded_p99_ms,busiest_cpu_avg_pct
uncapped,888.1,3.5,5.6,8.6,63.8,96.2,148.2,41.5
500,499.5,2.9,5.8,6.9,3.8,10.1,11.8,32.8
